perturbation,e_distance,e_pval,n_cells,n_technical_replicates,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates
JUN_1,8.256029647435923,0.0429570429570429,40,6,0.8163265305955852,,0.0621506153421047,False,0.5421866389894815,,False,True,False
PTPN11_1,7.3724017987296975,0.0459540459540459,49,6,0.999999999979592,,0.0637729617321454,False,,,False,True,False
REL_3,6.390665550711162,0.0869130869130869,39,6,0.7959183673306957,,0.1055373198230341,False,0.716235109386182,,False,True,False
JUNB_2,6.373657247212634,0.0609390609390609,51,6,1.040816326509371,,0.0812520812520812,False,,,False,True,False
EGR2_3,6.226827367125679,0.0699300699300699,42,6,0.8571428571253645,,0.0897215991555614,False,,,False,True,False
LAT_3,6.03264367816098,0.1238761238761238,30,5,0.6122448979466889,,0.1427724817555326,False,,,False,True,False
RUNX2_2,5.521969340678993,0.0399600399600399,61,6,1.2448979591582674,,0.0603840603840603,False,,,False,True,False
DOK2_3,5.2485100561963804,0.0409590409590409,70,6,1.428571428542274,,0.0605481475046692,False,,,False,True,False
NFATC2_1,4.961116878123846,0.0779220779220779,51,6,1.040816326509371,,0.0981240981240981,False,,,False,True,False
PTPN6_1,4.923559347257765,0.0849150849150849,54,6,1.10204081630404,,0.1049859231677413,False,,,False,True,False
FOS_2,4.913041380921868,0.0449550449550449,83,6,1.6938775509858393,,0.0636863136863136,False,0.3122671949876602,,False,True,False
JUND_2,4.5134028334555865,0.0689310689310689,62,6,1.2653061224231572,,0.0897215991555614,False,,,False,True,False
RUNX2_3,4.367349750551142,0.0969030969030969,52,6,1.0612244897742609,,0.1156036945510629,False,,,False,True,False
ZAP70_1,4.300989193000078,0.1078921078921078,43,6,0.8775510203902541,,0.1264941954597127,False,,,False,True,False
NR4A1_2,2.8001470416958227,0.1948051948051948,54,6,1.10204081630404,,0.2207792207792208,False,0.3578103799191575,,False,True,False
EGR3_3,2.2458526234567557,0.2777222777222777,36,6,0.7346938775360267,,0.29507992007992,False,,,False,True,False
PTPN6_3,2.179848835577957,0.2447552447552447,45,6,0.9183673469200334,,0.2684412361831716,False,,,False,True,False
REL_1,1.5609677237966366,0.3106893106893107,39,6,0.7959183673306957,,0.3250288173365097,False,0.6350803346381896,,False,True,False
EGR3_1,1.4673553710612737,0.2337662337662337,63,6,1.2857142856880468,,0.2605918671492442,False,,,False,True,False
RUNX2_1,1.146405649216149,0.2607392607392607,70,6,1.428571428542274,,0.2814328528614243,False,,,False,True,False
JUNB_3,0.2845279162801262,0.4085914085914086,56,6,1.1428571428338192,,0.4146897878241161,False,,,False,True,False
NFATC2_2,-0.1935136579857612,0.3996003996003996,44,6,0.8979591836551437,,0.4117095026185935,False,,,False,True,False
JUND_1,-0.7721913256722246,0.5434565434565435,54,6,1.10204081630404,,0.5434565434565435,False,,,False,True,False
DHODH_1,,,14,5,0.2857142857084548,dropped_low_cells_possible_depletion,,True,,,False,False,False
DHODH_2,,,7,3,0.1428571428542274,dropped_low_cells_possible_depletion,,True,,,False,False,False
DHODH_3,,,13,5,0.2653061224435652,dropped_low_cells_possible_depletion,,True,,,False,False,False
