perturbation,e_distance,e_pval,n_cells,n_donors,viability_ratio,note,e_qval,viability_flag,target_fc,on_target_ok,gate_sig,gate_viable,passes_gates,n_signif_kd,n_guides_kd,kd_confirmed,best_kd_rank,kd_gated_hit,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor,direction_tier
ARNT,13.827070773656985,0.0009990009990009,224,2,1.0275229357751032,,0.0011657389743494,False,,,True,True,True,2,2,True,7112.0,True,0.020700006543639,False,2,0.1681;-0.1267,neutral
HPS1,13.683274619100686,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,1,2,True,6948.0,True,0.4931312099152762,True,2,0.0870;0.8993,brake
YIPF1,13.121020203889842,0.0009990009990009,222,2,1.0183486238485395,,0.0011657389743494,False,,,True,True,True,2,2,True,5406.0,True,-0.1499029364263759,True,2,-0.1626;-0.1372,enhancer
CYB5R4,13.026563208203832,0.0009990009990009,144,2,0.6605504587125663,,0.0011657389743494,False,,,True,True,True,2,2,True,10241.0,True,-0.3205426223205461,True,2,-0.5646;-0.0765,required-machinery
RBM33,12.94286207752736,0.0009990009990009,206,2,0.9449541284360324,,0.0011657389743494,False,,,True,True,True,2,2,True,11473.0,True,-0.3202230056903986,True,2,-0.2486;-0.3918,enhancer
SLC35B1,12.87692981679468,0.0009990009990009,111,2,0.5091743119242699,,0.0011657389743494,False,0.1008899350233011,True,True,True,True,2,2,True,11176.0,True,-0.3038314501689775,True,2,-0.4730;-0.1347,required-machinery
HDAC3,12.868379326859568,0.0009990009990009,145,2,0.665137614675848,,0.0011657389743494,False,,,True,True,True,2,2,True,8676.0,True,0.1091484966360667,True,2,0.1771;0.0412,brake
MED19,12.840836343366774,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,5607.0,True,-0.0714614258553812,False,2,0.0093;-0.1522,enhancer
EIF4G2,12.694951015853803,0.0009990009990009,173,2,0.793577981647736,,0.0011657389743494,False,,,True,True,True,2,2,True,8694.0,True,-0.2681000344825049,True,2,-0.4350;-0.1012,required-machinery
IL12RB2,12.54187484206615,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,0.1329426658630931,True,True,True,True,2,2,True,12192.0,True,0.4352795098895854,False,2,-0.1746;1.0452,brake
TESPA1,12.418554294742895,0.0009990009990009,236,2,1.0825688073344837,,0.0011657389743494,False,0.0612598102943499,True,True,True,True,2,2,True,11115.0,True,-0.1186469861103466,True,2,-0.1991;-0.0382,enhancer
SLAMF7,12.412980440293303,0.0009990009990009,292,2,1.3394495412782594,,0.0011657389743494,False,0.0528326322993803,True,True,True,True,2,2,True,9696.0,True,0.3341226585163172,False,2,-0.0201;0.6883,brake
MED24,12.401135257218904,0.0009990009990009,285,2,1.3073394495352877,,0.0011657389743494,False,,,True,True,True,2,2,True,10354.0,True,-0.2964085412737815,True,2,-0.2866;-0.3062,enhancer
MLKL,12.338200548774914,0.0009990009990009,252,2,1.155963302746991,,0.0011657389743494,False,,,True,True,True,2,2,True,8220.0,True,0.0436215105268947,True,2,0.0551;0.0321,neutral
TUT1,12.322868114294067,0.0009990009990009,159,2,0.729357798161792,,0.0011657389743494,False,,,True,True,True,1,2,True,7798.0,True,-0.2037760137274334,True,2,-0.1878;-0.2198,required-machinery
PPCDC,12.32043320344824,0.0009990009990009,264,2,1.2110091743063716,,0.0011657389743494,False,0.5848481044128565,True,True,True,True,2,2,True,6597.0,True,-0.0929870986326578,False,2,-0.2194;0.0334,enhancer
SSBP1,12.19791686322504,0.0009990009990009,254,2,1.1651376146735544,,0.0011657389743494,False,,,True,True,True,2,2,True,4268.0,True,-0.1682077290468736,True,2,-0.2303;-0.1062,enhancer
AKAP10,12.145332474031392,0.0009990009990009,110,2,0.5045871559609881,,0.0011657389743494,False,,,True,True,True,2,2,True,7959.0,True,0.1997872924342801,True,2,0.0411;0.3585,brake
PIK3R4,12.100473567960512,0.0009990009990009,197,2,0.903669724766497,,0.0011657389743494,False,,,True,True,True,2,2,True,8013.0,True,0.218152464746606,True,2,0.0636;0.3727,brake
MPG,12.059732325051217,0.0009990009990009,179,2,0.8211009174274262,,0.0011657389743494,False,,,True,True,True,2,2,True,8810.0,True,0.0967766377299906,True,2,0.1679;0.0257,brake
IL21R,11.972767915980654,0.0009990009990009,219,2,1.0045871559586943,,0.0011657389743494,False,0.0664608940403782,True,True,True,True,1,1,True,11041.0,True,-0.3141864246910494,True,2,-0.5110;-0.1174,enhancer
LZTS1,11.946731772575234,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,0.3432169896064171,True,True,True,True,2,2,True,3112.0,True,-0.0987727726704137,True,2,-0.0573;-0.1403,enhancer
C6orf120,11.913194561409853,0.0009990009990009,213,2,0.9770642201790044,,0.0011657389743494,False,,,True,True,True,2,2,True,9609.0,True,-0.2347975491663719,True,2,-0.3319;-0.1377,enhancer
MEN1,11.873346970900291,0.0009990009990009,127,2,0.5825688073367772,,0.0011657389743494,False,,,True,True,True,2,2,True,5513.0,True,-0.081952178945127,True,2,-0.0559;-0.1080,required-machinery
PDLIM2,11.80868088837574,0.0009990009990009,152,2,0.69724770641882,,0.0011657389743494,False,,,True,True,True,2,2,True,4962.0,True,0.0463209898919857,False,2,-0.0858;0.1784,neutral
TCEAL1,11.800985723471356,0.0009990009990009,229,2,1.0504587155915115,,0.0011657389743494,False,,,True,True,True,1,2,True,3168.0,True,-0.0927981497333533,False,2,-0.3951;0.2095,enhancer
PDIA3,11.770171609067248,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,1,1,True,12129.0,True,-0.3844053591686628,True,2,-0.6458;-0.1230,enhancer
ORAI1,11.756499783961488,0.0009990009990009,239,2,1.096330275224329,,0.0011657389743494,False,,,True,True,True,2,2,True,11526.0,True,-0.0381346572499,True,2,-0.0202;-0.0561,neutral
ALKBH2,11.647743199756732,0.0009990009990009,271,2,1.2431192660493435,,0.0011657389743494,False,,,True,True,True,2,2,True,6118.0,True,0.2109206041591138,False,2,-0.0429;0.4647,brake
KIFAP3,11.491464491503692,0.0009990009990009,258,2,1.1834862385266811,,0.0011657389743494,False,,,True,True,True,2,2,True,4728.0,True,0.0973157040159145,True,2,0.0661;0.1285,brake
DOLPP1,11.461215050167212,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,5848.0,True,-0.3236992442646595,True,2,-0.4610;-0.1864,enhancer
KHDRBS1,11.45210301751554,0.0009990009990009,154,2,0.7064220183453834,,0.0011657389743494,False,,,True,True,True,2,2,True,10789.0,True,0.2808174188271904,True,2,0.0338;0.5279,brake
SLC31A1,11.310699753072695,0.0009990009990009,185,2,0.8486238532071164,,0.0011657389743494,False,,,True,True,True,2,2,True,6562.0,True,-0.0394159783311992,False,2,-0.1219;0.0430,neutral
C8orf33,11.181704652910142,0.0009990009990009,246,2,1.1284403669673009,,0.0011657389743494,False,,,True,True,True,2,2,True,11289.0,True,-0.089570455415428,True,2,-0.0886;-0.0905,enhancer
KDM1A,11.142586101820896,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,10910.0,True,-0.2551440001194207,True,2,-0.2456;-0.2647,enhancer
LMTK2,11.10512257991391,0.0009990009990009,295,2,1.3532110091681049,,0.0011657389743494,False,,,True,True,True,2,2,True,5538.0,True,0.3096596620082498,False,2,-0.2562;0.8755,brake
ARHGAP27,10.899706972465316,0.0009990009990009,114,2,0.522935779814115,,0.0011657389743494,False,,,True,True,True,2,2,True,6487.0,True,-0.241070555419345,True,2,-0.1083;-0.3739,required-machinery
ERGIC3,10.834115884538292,0.0009990009990009,279,2,1.2798165137555972,,0.0011657389743494,False,,,True,True,True,2,2,True,10506.0,True,0.3566247260632325,True,2,0.0042;0.7090,brake
AK3,10.819215087328118,0.0009990009990009,300,2,1.3761467889845131,,0.0011657389743494,False,,,True,True,True,2,2,True,6149.0,True,-0.1647055044674051,True,2,-0.1561;-0.1733,enhancer
