perturbation,direction_score,direction_sign_agreement,direction_n_donors,direction_per_donor
RAB2B,0.061554880212328245,False,2,-0.0417;0.1648
ACOT7,0.06158403765560505,False,2,-0.0183;0.1414
RAB23,0.06164161190711248,True,2,0.0985;0.0248
CCP110,0.06164630068931576,True,2,0.0788;0.0445
PSME4,0.061741217327436426,True,2,0.0017;0.1217
EME1,0.06182283886293827,False,2,-0.0499;0.1736
DMGDH,0.061837768729191,False,2,-0.0387;0.1624
ZBTB8OS,0.06193152179916217,False,2,-0.1310;0.2549
ACACB,0.06195404955731243,True,2,0.1046;0.0193
FAM160A2,0.06204012762906641,False,2,-0.0104;0.1345
SMAD3,0.06204953281065417,False,2,-0.1337;0.2578
RARB,0.06208005816196416,True,2,0.0798;0.0444
GABARAP,0.06210417025388548,False,2,-0.0414;0.1656
PCSK5,0.062123362855460385,False,2,-0.1781;0.3024
IFT172,0.062131321390260896,False,2,-0.1087;0.2330
MEX3C,0.06214653749006416,False,2,-0.1030;0.2273
MCUR1,0.06219458190774774,False,2,0.1345;-0.0101
TG,0.06222181309033936,True,2,0.0205;0.1040
NDE1,0.06222193137780463,True,2,0.0925;0.0320
TUBB1,0.06222523013609493,False,2,0.1454;-0.0209
ACVR1,0.06230153573162822,False,2,0.2538;-0.1292
METTL3,0.062348050714978065,True,1,0.0623
JMJD7-PLA2G4B,0.06234904557690302,False,2,-0.1297;0.2544
CASZ1,0.06239379497553599,False,2,0.1359;-0.0111
TCEA1,0.062400247948634247,False,2,0.1756;-0.0508
ERV3-1,0.062404198636153874,False,2,0.2272;-0.1024
SGSM3,0.0624176241119081,True,2,0.0568;0.0680
MAST3,0.062423418959145716,True,2,0.0039;0.1209
TMEM68,0.06247233999986046,True,2,0.0407;0.0842
ZNF620,0.06248676164846573,False,2,0.1721;-0.0472
PLCXD2,0.0625113528864975,False,2,0.1829;-0.0579
TNIP1,0.06252875650139478,False,2,-0.0031;0.1282
ZNF107,0.06257324044819623,False,2,-0.1792;0.3044
QSOX1,0.06261799691961878,False,2,-0.1474;0.2726
SLC25A4,0.06263796890149909,False,2,0.1989;-0.0736
VPS36,0.06270592573892952,True,1,0.0627
C1R,0.06272603458703219,True,2,0.0501;0.0754
TMEM71,0.06273799447518269,False,2,0.1332;-0.0077
MUCL1,0.06276034478277337,True,2,0.1131;0.0124
VAX1,0.06286096406272201,True,2,0.0738;0.0519
PKN1,0.06291886994295737,False,2,-0.0529;0.1787
EEA1,0.06293771997841247,True,2,0.1161;0.0098
CFAP53,0.06301578712056699,False,2,0.2357;-0.1096
MTHFR,0.06309574871787682,False,2,0.1283;-0.0021
SMIM13,0.06309660533996353,True,2,0.1116;0.0146
ZNF71,0.06310174877947594,False,2,-0.1783;0.3045
SFTPA2,0.06310200363282448,True,2,0.0672;0.0590
POU2AF1,0.06311099298932343,True,2,0.0459;0.0804
DDX50,0.06311839824983068,False,2,0.1971;-0.0709
IFI6,0.06312110527969728,True,2,0.0898;0.0365
TLDC1,0.063125133185712,False,2,0.1572;-0.0310
CCDC191,0.06313368454505386,True,2,0.0889;0.0373
ADA,0.06313569198306357,False,2,-0.0331;0.1594
DHRS4,0.0632098516365619,False,2,0.3083;-0.1819
ZNF354C,0.06327042373031999,True,2,0.0132;0.1133
PIGP,0.06328778253411105,False,2,0.1451;-0.0185
TIRAP,0.0633016174363853,True,2,0.0288;0.0979
FCHSD2,0.06333693367110471,True,2,0.0845;0.0422
KRT2,0.06342756634308122,True,2,0.0299;0.0969
TBCCD1,0.06349371589011799,True,2,0.1016;0.0254
CENPW,0.06351988105304923,False,2,0.2509;-0.1239
CDHR3,0.06353437479628143,False,2,-0.0667;0.1938
BRF2,0.06363577279818222,True,2,0.0793;0.0479
TTPAL,0.06368791071485314,False,2,-0.0421;0.1694
BLOC1S6,0.0636894541400852,True,2,0.0332;0.0942
MEIS3,0.06369524054286357,False,2,-0.2006;0.3280
ZNF804B,0.06373033562517338,True,2,0.0103;0.1172
BAG4,0.06378121401879877,False,2,-0.0554;0.1830
ITPR2,0.06378135326419232,True,2,0.0678;0.0597
CHIC1,0.0638082638788553,False,2,-0.0396;0.1672
EHD4,0.06384567467723745,False,2,0.1485;-0.0208
NT5C3A,0.06386808446038694,False,2,-0.3528;0.4805
PEX1,0.06397817587780308,True,2,0.0594;0.0685
MTR,0.06398501796778355,True,2,0.0311;0.0969
SIM2,0.06398731413123931,False,2,0.2081;-0.0801
PEX5L,0.06402893629311424,True,2,0.0599;0.0682
NEMP1,0.06408351274823232,True,2,0.0051;0.1230
FARP2,0.06408838989418097,True,2,0.0420;0.0862
PILRA,0.06410471405785806,False,2,0.1852;-0.0570
CUZD1,0.06410598234532816,False,2,-0.0200;0.1482
ZNF282,0.06414461573820796,True,2,0.0966;0.0317
SNRNP35,0.0641618117256686,True,1,0.0642
TMEM223,0.06417000936007533,True,2,0.0459;0.0825
TEAD4,0.06417556316349493,True,2,0.0291;0.0993
ZWILCH,0.06422582449931202,False,2,-0.1361;0.2646
ACAP3,0.06429795434463903,False,2,-0.0201;0.1487
ZBTB49,0.06435119786442656,True,2,0.0016;0.1271
TNKS1BP1,0.06437557545679429,False,2,0.2427;-0.1139
KLHL31,0.06438927829151242,True,2,0.0193;0.1095
MRM1,0.06440495484222497,False,2,0.1401;-0.0113
CORO1B,0.06440914416742594,True,2,0.0211;0.1077
BAIAP2,0.0645073758185486,True,2,0.0451;0.0839
CCDC126,0.06452909340082402,True,2,0.0615;0.0676
SIKE1,0.06454725292768426,False,2,0.2514;-0.1223
AJAP1,0.06458462030538537,False,2,0.1366;-0.0074
ANO10,0.06466085602917371,False,2,-0.0388;0.1682
ADCY1,0.06476725214071988,False,2,0.1383;-0.0088
PIH1D1,0.06477238621178638,False,2,-0.0698;0.1994
PQLC1,0.0647741688857918,False,2,-0.0426;0.1722
KNOP1,0.06480486874662572,True,2,0.0792;0.0505
RPP25,0.06481598912062903,False,2,-0.0655;0.1952
APOL6,0.06482141061016045,False,2,0.1901;-0.0605
FBLIM1,0.06482725499699538,False,2,0.1516;-0.0219
POGK,0.06485102349748606,False,2,-0.0493;0.1790
ANKS3,0.06487405695072712,False,2,-0.0980;0.2278
BAIAP2L1,0.06489263477172563,False,2,0.1798;-0.0500
DHX30,0.06496808927480524,True,2,0.0543;0.0757
SMC3,0.06498467525229601,False,2,-0.4087;0.5387
SHLD2,0.0650158279513946,False,2,-0.0115;0.1415
PTBP3,0.06501611214023661,False,2,-0.0344;0.1644
HIST1H3D,0.06505094618731255,True,2,0.1185;0.0116
CDC42BPA,0.0651111861711745,True,2,0.0429;0.0873
RPGR,0.0651823641707755,True,2,0.0122;0.1181
ELF5,0.0651856399695625,True,2,0.0472;0.0832
SPAG16,0.06518865486404851,False,2,0.1770;-0.0467
FRMD8,0.06531369904772155,False,2,0.1422;-0.0116
ZFP37,0.06532829589462896,False,2,-0.0402;0.1708
PARD6A,0.0653590439295354,False,2,0.1360;-0.0053
ZNF280B,0.06536520947720664,False,2,0.1815;-0.0508
SH3YL1,0.06536731609606022,False,2,0.1710;-0.0403
RAB41,0.06542100666933737,False,2,-0.0693;0.2001
ULBP2,0.06542476688166138,False,2,0.1593;-0.0284
SLC19A1,0.0655355356165307,True,2,0.1101;0.0210
CXCR2,0.0655822041130254,False,2,-0.1224;0.2536
FTSJ1,0.06571789477129708,False,2,0.1401;-0.0086
CCL1,0.06575798858598925,True,2,0.0721;0.0594
ALG12,0.06582348348409517,True,2,0.1028;0.0288
TMOD2,0.06584198995911938,True,2,0.0520;0.0797
NEUROD2,0.0659324426462895,False,2,0.2528;-0.1209
ZNF439,0.0659402994078484,False,2,-0.0715;0.2034
MEF2A,0.06596105967367072,True,2,0.0624;0.0696
PPIF,0.06599914277826147,False,2,-0.1021;0.2341
PAN3,0.06601104599710672,False,2,-0.1258;0.2578
SLC9A3R2,0.06603453096405931,True,2,0.0976;0.0344
KAT2B,0.06611135747675934,False,2,0.1724;-0.0402
ARRB1,0.06619897916333328,True,2,0.1161;0.0163
GJC1,0.06620529648154794,True,2,0.0848;0.0476
NUAK1,0.06623307311412252,False,2,0.1398;-0.0074
PSAT1,0.06625296053873764,True,2,0.0871;0.0454
RTL8C,0.06626836830825744,False,2,-0.0560;0.1885
TDP2,0.06632288039111722,True,2,0.0451;0.0876
SAT2,0.06633682896782445,False,2,-0.0449;0.1776
RABEP2,0.06645519135356082,True,2,0.0267;0.1063
MARCH2,0.06648613971472239,False,2,0.2750;-0.1420
SSR3,0.06653854110350232,True,2,0.0405;0.0926
FOXN1,0.06654870953104564,True,2,0.1159;0.0172
TPM2,0.06657794656483917,True,2,0.0462;0.0869
PTF1A,0.06658479645324134,True,2,0.1062;0.0270
ADGRA3,0.0666018653659104,True,2,0.1062;0.0270
ASB8,0.06661573826934086,True,2,0.0503;0.0829
SYCE1L,0.0666862084872133,False,2,0.1527;-0.0193
TRAF2,0.0666939445812974,False,2,-0.0576;0.1910
ARL1,0.06669902771872527,False,2,-0.1935;0.3269
PHF10,0.06681059876487933,False,2,0.2250;-0.0914
RCC1,0.06692105081949928,False,2,-0.0450;0.1788
KLF15,0.06694664524857741,True,2,0.0840;0.0498
MBNL2,0.06695874507139343,True,2,0.0806;0.0533
STK25,0.06698210786647507,True,2,0.0272;0.1067
ARFIP1,0.0669832983095322,True,2,0.0319;0.1021
FCRL3,0.06698859464472084,False,2,-0.0159;0.1499
ZNF594,0.06699801390858606,True,2,0.0462;0.0878
ZFP42,0.06710150532195513,True,2,0.0379;0.0963
KIFC3,0.0671334253751329,True,2,0.0106;0.1237
SLFNL1,0.06717252195865553,False,2,0.1357;-0.0014
SLC16A3,0.06717950352771868,False,2,0.1901;-0.0557
ACBD3,0.06720167787654518,False,2,0.1432;-0.0088
APOL3,0.06722783409622379,True,2,0.0356;0.0988
DELE1,0.06724569359825505,True,2,0.0365;0.0980
SYNJ2BP,0.06727929988935033,True,2,0.0869;0.0476
SMIM7,0.06735689105015796,False,2,-0.3186;0.4533
CDK5RAP2,0.06740821088301174,True,2,0.0483;0.0865
GMPR,0.06743503880245849,True,2,0.0414;0.0935
PDHA1,0.06743879304995648,False,2,-0.0060;0.1409
ZNF317,0.06746265592203138,False,2,-0.2087;0.3436
TLNRD1,0.06749935610906022,True,2,0.1198;0.0152
C3orf33,0.06757117429365556,True,2,0.0282;0.1070
SH3BGRL2,0.06757948333524455,True,2,0.0725;0.0627
GAS6,0.06763726411573123,True,2,0.1285;0.0067
PGLYRP1,0.06766796073674464,False,2,0.1552;-0.0199
TMEM18,0.06767056173602637,False,2,-0.0122;0.1475
TPH1,0.06772287953237122,True,2,0.1074;0.0280
POLR2A,0.06774344610266647,True,1,0.0677
ARHGEF2,0.06774610180564133,True,2,0.0038;0.1317
GRAMD1B,0.06777581772175034,True,2,0.0449;0.0907
TBC1D16,0.06782599672032719,False,2,0.1439;-0.0083
ARMC7,0.0678546353432462,False,2,-0.0782;0.2139
KNL1,0.06791643409418724,False,2,-0.3380;0.4739
DICER1,0.068032209902531,True,1,0.0680
GMPR2,0.06809453536562154,False,2,0.2082;-0.0721
GEMIN4,0.06816146652616117,True,1,0.0682
CEP72,0.06821774191692753,False,2,-0.0302;0.1666
CTSB,0.06821878401954651,True,2,0.0150;0.1214
L3MBTL3,0.06822115326459133,True,2,0.0109;0.1256
ASB16,0.06827744626866644,False,2,0.1688;-0.0323
IFT122,0.06831654399755971,True,2,0.0177;0.1190
COLQ,0.06832735656040378,False,2,-0.0597;0.1963
MOK,0.06838879893180505,False,2,-0.1148;0.2515
TMEM30A,0.06839656607660838,False,2,-0.0020;0.1388
ZNF880,0.06840373703766534,False,2,0.1603;-0.0235
VAPB,0.06848253660126724,False,2,0.1585;-0.0216
P2RY8,0.06861432787712374,False,2,-0.0641;0.2013
HOXB2,0.06862120007143535,False,2,-0.0105;0.1478
CFLAR,0.06862983729913064,False,2,0.3052;-0.1679
CSK,0.06864257661076711,False,2,-0.0103;0.1476
PLA2G10,0.0686804602277653,False,2,-0.0088;0.1462
ATG3,0.06868683521883778,False,2,0.2526;-0.1152
HEBP2,0.06869693496645035,True,2,0.1079;0.0295
MLLT6,0.06879084342860109,True,2,0.0146;0.1229
S1PR4,0.06884663373382927,False,2,-0.0518;0.1895
STARD10,0.06885362014670304,False,2,-0.0402;0.1779
IRS1,0.06886727696623818,True,2,0.0237;0.1140
CIITA,0.0689060122761157,False,2,-0.1085;0.2463
TTC3,0.0689759087103361,True,2,0.0299;0.1081
WBP2,0.06910672310500587,True,2,0.1239;0.0143
CNKSR2,0.06911146073124452,True,2,0.0380;0.1003
GZMM,0.06912772446808313,True,2,0.0808;0.0574
KLHL11,0.06920143937324086,True,2,0.0169;0.1215
TCP11L2,0.06920617840418031,True,2,0.0566;0.0818
TCAF2,0.0692373606011687,True,2,0.1212;0.0173
RIMS3,0.0692833426119226,True,2,0.0939;0.0447
HK1,0.06930126894278166,False,2,-0.0041;0.1427
RYBP,0.06930237696389407,False,2,0.1526;-0.0140
TRPM2,0.06930459643047338,True,2,0.0403;0.0984
UBA52,0.06930727549033433,True,1,0.0693
CARNMT1,0.06931650517465726,True,2,0.1175;0.0211
EVC,0.06939596083033639,False,2,-0.1370;0.2758
FAM98A,0.0694097720168958,False,2,0.1939;-0.0551
DCTPP1,0.0694440201233073,True,2,0.1088;0.0301
METTL22,0.0694598307280172,True,2,0.0704;0.0686
CCM2,0.06947903514889175,True,2,0.1088;0.0301
DUXA,0.06960157677170953,True,2,0.1178;0.0214
RSPH4A,0.06961071670706426,False,2,0.2647;-0.1255
MARF1,0.0696539083104919,True,2,0.0969;0.0424
SEC11A,0.06966302925000678,False,2,-0.0181;0.1574
ZNF436,0.06978769576399613,True,2,0.0169;0.1227
ZNF461,0.06982436729573649,True,2,0.0583;0.0814
IL10,0.06997364598806821,True,2,0.1237;0.0162
ZNF214,0.06997577842000624,True,2,0.0023;0.1377
EHD1,0.06999585339071956,False,2,-0.1588;0.2988
FRS3,0.07001352384846993,True,2,0.0393;0.1007
MEFV,0.07014770240854917,True,2,0.1382;0.0021
MAP1LC3B,0.07015595308006162,False,2,-0.0436;0.1839
DNASE1,0.070204478307889,True,2,0.1288;0.0116
HAGH,0.07023297245239168,True,2,0.0839;0.0566
KLRD1,0.07023340285952684,False,2,0.1486;-0.0082
RNPS1,0.07025920811112413,False,2,0.2257;-0.0851
RAB30,0.07026781876258525,True,2,0.1387;0.0018
CAPN7,0.07027470931556346,True,2,0.0522;0.0884
ING3,0.07036023353859866,False,2,0.1417;-0.0010
FN3K,0.07051927085379961,True,2,0.1250;0.0161
LTBP1,0.07053564440865734,True,2,0.0600;0.0811
NEIL2,0.07061710629645113,True,2,0.0188;0.1225
TBX4,0.07064206200749845,False,2,-0.0129;0.1542
SFXN3,0.07072310361616663,False,2,-0.0102;0.1517
ZNF577,0.0708020524262094,True,2,0.0068;0.1348
KLRG1,0.07082021978468822,True,2,0.0738;0.0679
C15orf53,0.07085692792887555,True,2,0.0789;0.0628
HIST1H1C,0.07086213741260172,False,2,-0.0968;0.2385
ST18,0.07090435905952919,True,2,0.0766;0.0652
MAP3K7,0.07091050420319356,True,2,0.0844;0.0575
RNF141,0.07097453079518778,False,2,-0.0089;0.1508
ATG4D,0.0709813756533536,True,2,0.0320;0.1099
CPEB2,0.07098897045227126,False,2,0.2083;-0.0663
C5orf34,0.07099502714246608,True,2,0.1187;0.0233
PPP2R2D,0.07102406357416657,False,2,0.1671;-0.0250
TADA2B,0.07103173704157395,False,2,-0.0277;0.1698
SLC2A3,0.07103915168997921,True,2,0.0006;0.1415
C19orf53,0.07119035863932188,True,2,0.0299;0.1125
ZFP92,0.07120268728429635,True,2,0.0936;0.0488
FAM104B,0.07120858486253379,False,2,-0.0040;0.1464
EPHA4,0.07123209437467981,True,2,0.0956;0.0468
REX1BD,0.0712413171011902,True,2,0.0635;0.0790
TPRN,0.0713077941233008,True,2,0.0852;0.0574
C16orf91,0.0713133512735149,True,2,0.0706;0.0720
BCL7B,0.07133854766491265,False,2,-0.0542;0.1969
ZCCHC24,0.07146441331631426,False,2,-0.1148;0.2578
ZNF772,0.07152107083352066,True,2,0.0241;0.1189
FIBP,0.07154447380036588,True,2,0.0171;0.1260
ATF2,0.0715604776865888,False,2,-0.0780;0.2211
PDCD6,0.07160236645498652,True,2,0.1160;0.0272
TAB2,0.07161812608841112,True,2,0.0817;0.0615
NSUN5,0.07163784760246111,False,2,0.2035;-0.0603
MAX,0.07166389642031801,True,2,0.0058;0.1375
GPS1,0.07200372065823846,True,1,0.0720
ST5,0.07205953068986204,True,2,0.0828;0.0613
NDUFA10,0.07210076174477631,False,2,-0.0045;0.1487
ARRDC3,0.07211068786439911,True,2,0.0100;0.1342
F3,0.07213257581876353,True,2,0.0786;0.0657
MORC4,0.07215594422652072,False,2,-0.0600;0.2043
ENO2,0.07218440882431199,True,2,0.0969;0.0474
ACYP2,0.07220531442031686,False,2,-0.0590;0.2034
ANTXR2,0.07223589967539934,False,2,-0.1372;0.2817
ST20,0.07224182152594893,True,2,0.0712;0.0733
FAAH2,0.07248616982036171,True,2,0.1190;0.0260
PEX13,0.07255905380333871,False,2,-0.0378;0.1829
PLK2,0.07259701096430682,False,2,-0.0033;0.1485
ARMCX5,0.07259723814689578,True,2,0.0394;0.1058
DMRTC2,0.07260728499243979,False,2,0.2183;-0.0731
GLYCTK,0.07274137474725462,True,2,0.0863;0.0591
CMTM8,0.07297458578772853,False,2,0.1692;-0.0233
PPM1K,0.072990332106181,False,2,-0.1767;0.3227
SCGB2B2,0.07299392348406519,False,2,-0.0220;0.1680
VPS11,0.07299826784097097,True,2,0.0572;0.0888
NEUROD4,0.07323546523289937,True,2,0.0617;0.0847
RNF6,0.07325669248924638,False,2,0.1657;-0.0192
ZNF267,0.07328896341983526,True,2,0.0822;0.0644
HOXA5,0.07329424781951399,True,2,0.1281;0.0185
MYCBP2,0.07341156631464396,True,2,0.1386;0.0082
PLEKHO1,0.0736468662545342,False,2,0.2105;-0.0632
PARP10,0.07365244735698395,False,2,0.1814;-0.0341
NFYB,0.0737356081989694,False,2,-0.0275;0.1750
RCCD1,0.07373870736077137,True,2,0.0219;0.1255
UBE2V1,0.07376946084959024,True,2,0.1098;0.0377
WRAP73,0.07379511310015574,True,2,0.1262;0.0214
CLCN6,0.07381330900221195,True,2,0.0433;0.1044
ZNF175,0.0738287864485635,True,2,0.0241;0.1235
CLIP4,0.07387278979911338,False,2,-0.0349;0.1826
AKAP8L,0.07404798556553849,True,2,0.0139;0.1342
SRGAP2B,0.07407134499698709,True,2,0.0221;0.1261
DOK5,0.07407208163109769,False,2,-0.0340;0.1822
RUFY3,0.07415610299432296,False,2,0.3476;-0.1993
EEF1AKMT3,0.07424600633086054,True,2,0.0112;0.1373
C1orf174,0.07432129674045618,False,2,-0.0237;0.1724
GDF7,0.07434114165504141,False,2,0.1843;-0.0356
PSMB7,0.07435351912066235,True,2,0.0689;0.0798
PSMC3IP,0.07442592775944168,False,2,0.1521;-0.0032
