gene,ppr,is_seed,is_gated_hit,e_distance,e_qval,degree,enrichment,n_seed_nbrs,seed_weight_sum,seed_neighbors,is_sig_causal
RNF114,3.780286266021271e-06,False,True,0.6236511494656511,0.0011657389743494,8,0.22391580625210494,0,0.0,,True
FBXO3,3.7795239684703135e-06,False,True,1.9543235158960428,0.0011657389743494,5,0.3581930455398685,0,0.0,,True
LARP4B,3.778332817793796e-06,False,True,0.9270068798234165,0.0011657389743494,30,0.05968002630132561,0,0.0,,True
C12orf66,3.777361319284163e-06,False,False,,,19,0.09420739130294703,0,0.0,,False
MPP7,3.776190359127222e-06,False,True,0.6597623082738053,0.0011657389743494,3,0.5964618545253418,0,0.0,,True
SOAT2,3.7742518307085113e-06,False,False,0.460015254001938,0.0022473347284046,16,0.11177918578122095,0,0.0,,True
IFNE,3.7736649409046785e-06,False,False,,,11,0.1625626244451901,0,0.0,,False
ZFAND2B,3.7734411205519917e-06,False,True,4.133121497266608,0.0011657389743494,9,0.19867586770941853,0,0.0,,True
CKAP2,3.7729087882870735e-06,False,True,1.5471783351913757,0.0011657389743494,26,0.06876271378529664,0,0.0,,True
HACD2,3.772815786424337e-06,False,True,1.5879098522059325,0.0011657389743494,12,0.14898220737958634,0,0.0,,True
CERKL,3.772357390326692e-06,False,False,0.2158733402695247,0.0391074295424471,33,0.054168765847885034,0,0.0,,True
CDH9,3.7722052664927317e-06,False,False,,,20,0.0893748593790123,0,0.0,,False
DNAL4,3.7702621854121345e-06,False,True,1.1240222965440338,0.0011657389743494,8,0.22332205489742427,0,0.0,,True
CRTAM,3.7660628657465894e-06,False,True,1.5564011875328276,0.0011657389743494,5,0.3569173099125358,0,0.0,,True
SIPA1L2,3.7657955078089964e-06,False,False,2.4105701749286936,0.0011657389743494,2,0.8922299296651856,0,0.0,,True
JPH4,3.765156847144056e-06,False,False,,,9,0.1982396915097425,0,0.0,,False
SLC25A20,3.7620484556899836e-06,False,True,0.755398885172788,0.0011657389743494,17,0.10486378124783857,0,0.0,,True
CNGA4,3.7611269458930346e-06,False,False,,,13,0.13709597035237486,0,0.0,,False
IER2,3.7600166617454074e-06,False,True,0.5051358943319997,0.0043721344658784,7,0.2545316421906684,0,0.0,,True
IGHV3-11,3.759614117701559e-06,False,False,,,10,0.17815307458140608,0,0.0,,False
TRPM3,3.7594747645736375e-06,False,False,,,10,0.1781464711940864,0,0.0,,False
D2HGDH,3.758040206468014e-06,False,True,1.3577179796713494,0.0011657389743494,7,0.254397847462419,0,0.0,,True
HACD3,3.7572425553691595e-06,False,True,0.9130608514056248,0.0011657389743494,12,0.14836724644060248,0,0.0,,True
GREM1,3.7559677277112244e-06,False,False,,,21,0.08475251749777338,0,0.0,,False
CACNA2D2,3.755278088810477e-06,False,False,1.03199626582758,0.0022473347284046,24,0.07414483646515553,0,0.0,,True
WNK1,3.7548408182358712e-06,False,True,3.743242735042734,0.0011657389743494,20,0.0889634435064625,0,0.0,,True
SPOCK1,3.7537237750888695e-06,False,False,,,4,0.444684887015903,0,0.0,,False
RBKS,3.7532177136699947e-06,False,True,1.0031215414160355,0.0011657389743494,13,0.13680767275382028,0,0.0,,True
VANGL1,3.7527835466194933e-06,False,True,0.3463685649264434,0.0330396990738546,21,0.08468066720957682,0,0.0,,True
FBXL7,3.7527717651275516e-06,False,False,,,5,0.3556576857246683,0,0.0,,False
NMU,3.7520254692468667e-06,False,False,,,21,0.0846635613741581,0,0.0,,False
ERG,3.751111462682747e-06,False,False,0.5482515952788631,0.0054236631035567,9,0.19750018641187184,0,0.0,,True
CIAO2B,3.7502491199035996e-06,False,False,,,16,0.11106831549734499,0,0.0,,False
SLC6A2,3.7454881061117607e-06,False,False,,,16,0.11092731212263243,0,0.0,,False
MIP,3.7440739168919063e-06,False,False,,,20,0.08870834331291994,0,0.0,,False
